postal code,latitude,longitude
85260,27.5514,-110.0833
85019,27.4244,-109.9225
85019,27.7928,-109.8867
85019,27.4244,-109.9225
85019,27.4244,-109.9225
85019,27.4244,-109.9225
85019,27.7928,-109.8867
85023,27.8096,-109.8831
85024,27.7928,-109.8867
85024,27.5122,-109.9723
85037,27.4244,-109.9225
85040,27.4244,-109.9225
85040,27.4244,-109.9225
85040,27.4244,-109.9225
85050,27.3953,-109.8903
85050,27.4408,-109.9156
85050,27.4864,-109.9408
85050,27.4408,-109.9156
85050,27.4408,-109.9156
85138,27.4895,-109.9621
85138,27.4895,-109.9621
85140,27.8838,-109.9248
85140,27.6464,-109.9567
85140,27.8838,-109.9248
85140,28.1212,-109.8929
85140,27.8838,-109.9248
85140,27.7928,-109.8867
85140,27.8838,-109.9248
85140,27.7928,-109.8867
85140,27.8838,-109.9248
85140,27.7928,-109.8867
85140,27.8838,-109.9248
85140,27.8838,-109.9248
85140,27.8838,-109.9248
85140,27.8838,-109.9248
85194,27.7928,-109.8867
85204,27.3706,-109.8938
85204,27.3706,-109.8938
85204,27.3706,-109.8938
85204,27.3706,-109.8938
85204,27.3706,-109.8938
85204,27.3706,-109.8938
85204,27.3706,-109.8938
85205,27.4317,-109.7511
85205,27.4264,-109.8067
85205,27.4282,-109.7992
85205,27.4266,-109.8303
85205,27.3847,-109.8031
85205,27.4266,-109.8303
85205,27.375,-109.7922
85205,27.4266,-109.8303
85205,27.3552,-109.9111
85205,27.4266,-109.8303
85205,27.481,-109.8434
85205,27.4266,-109.8303
85205,27.4814,-109.8667
85205,27.4266,-109.8303
85205,27.3972,-109.8022
85205,27.4266,-109.8303
85205,27.4269,-109.8389
85205,27.4266,-109.8303
85205,27.3758,-109.7892
85205,27.4266,-109.8303
85205,27.3739,-109.7275
85205,27.4266,-109.8303
85205,27.4538,-109.8566
85205,27.4266,-109.8303
85205,27.4783,-109.8672
85205,27.4266,-109.8303
85205,27.445,-109.8528
85205,27.4266,-109.8303
85205,27.2356,-109.9319
85205,27.4266,-109.8303
85205,27.4472,-109.8431
85205,27.4266,-109.8303
85205,27.368,-109.8063
85205,27.4266,-109.8303
85205,27.4574,-109.8116
85205,27.4266,-109.8303
85205,27.4597,-109.8661
85205,27.4064,-109.8403
85205,27.3714,-109.776
85205,27.7503,-109.9089
85205,27.4417,-109.82
85205,27.4353,-109.8472
85205,27.4052,-109.8293
85205,27.4266,-109.8303
85205,27.4266,-109.8303
85205,27.4266,-109.8303
85206,27.5131,-109.9661
85206,27.3458,-110.0347
85206,27.3258,-110.0542
85206,27.6667,-109.9275
85206,27.2886,-110.0156
85206,27.5613,-109.9357
85206,27.3403,-110.0936
85206,27.2814,-110.035
85206,27.335,-110.0281
85206,27.3033,-110.0344
85206,27.3528,-109.8903
85206,27.2347,-110.0353
85206,27.7928,-109.8867
85206,27.3353,-110.0565
85206,27.2986,-110.0756
85206,27.2958,-110.0375
85206,27.2806,-110.0153
85206,27.2264,-110.0556
85206,27.3439,-110.0558
85206,27.3083,-110.0333
85206,27.7928,-109.8867
85206,27.2806,-110.075
85206,27.7928,-109.8867
85206,27.3361,-110.0325
85206,27.3403,-110.0156
85206,27.3438,-110.0112
85206,27.3347,-110.0344
85206,27.3167,-110.0347
85206,27.3442,-110.0922
85206,27.3438,-110.0112
85206,27.3347,-110.0344
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
85206,27.3438,-110.0112
